# time (ps)       depth (nm)       Te (K)      Tl(K)
  0.2000000000E+00     0.1257861635E+01     0.7260293532E+03     0.3001259875E+03
  0.2000000000E+00     0.1886792453E+01     0.7259299423E+03     0.3001259524E+03
  0.2000000000E+00     0.2515723270E+01     0.7257888052E+03     0.3001259025E+03
  0.2000000000E+00     0.3144654088E+01     0.7256073449E+03     0.3001258385E+03
  0.2000000000E+00     0.3773584906E+01     0.7253869189E+03     0.3001257609E+03
  0.2000000000E+00     0.4402515723E+01     0.7251288409E+03     0.3001256700E+03
  0.2000000000E+00     0.5031446541E+01     0.7248343823E+03     0.3001255664E+03
  0.2000000000E+00     0.5660377358E+01     0.7245047741E+03     0.3001254506E+03
  0.2000000000E+00     0.6289308176E+01     0.7241412081E+03     0.3001253230E+03
  0.2000000000E+00     0.6918238994E+01     0.7237448387E+03     0.3001251841E+03
  0.2000000000E+00     0.7547169811E+01     0.7233167840E+03     0.3001250341E+03
  0.2000000000E+00     0.8176100629E+01     0.7228581273E+03     0.3001248736E+03
  0.2000000000E+00     0.8805031447E+01     0.7223699184E+03     0.3001247030E+03
  0.2000000000E+00     0.9433962264E+01     0.7218531749E+03     0.3001245225E+03
